Time,WL
00:00:00,25
00:00:01,50
00:00:01,50
00:00:03,50
00:00:04,50
00:00:04,50
00:00:06,50
00:00:07,50
00:00:08,50
00:00:08,50
00:00:10,50
00:00:11,50
00:00:11,50
00:00:13,50
00:00:14,50
00:00:15,50
00:00:16,50
00:00:17,50
00:00:18,50
00:00:19,50
00:00:20,50
00:00:21,50
00:00:22,50
00:00:23,50
00:00:24,50
00:00:25,50
00:00:26,50
00:00:27,50
00:00:28,50
00:00:29,50
00:00:30,50
00:00:31,50
00:00:33,50
00:00:33,50
00:00:34,50
00:00:36,50
00:00:36,50
00:00:37,50
00:00:38,50
00:00:39,50
00:00:40,50
00:00:41,50
00:00:43,50
00:00:43,50
00:00:45,50
00:00:46,50
00:00:46,50
00:00:48,50
00:00:49,50
00:00:49,50
00:00:51,50
00:00:52,50
00:00:52,50
00:00:53,50
00:00:55,50
00:00:56,50
00:00:56,50
00:00:58,50
00:00:59,50
00:01:00,50
00:01:01,50
00:01:02,50
00:01:03,50
00:01:04,50
00:01:05,50
00:01:06,50
00:01:07,50
00:01:08,50
00:01:09,50
00:01:10,50
00:01:11,50
00:01:12,50
00:01:13,50
00:01:14,50
00:01:15,50
00:01:16,50
00:01:17,50
00:01:18,50
00:01:19,50
00:01:20,50
00:01:21,50
00:01:22,50
00:01:23,50
00:01:24,50
00:01:25,50
00:01:26,50
00:01:27,50
00:01:28,50
00:01:30,50
00:01:30,50
00:01:31,50
00:01:33,50
00:01:33,50
00:01:34,50
00:01:36,50
00:01:36,50
00:01:37,50
00:01:38,50
00:01:40,50
00:01:40,50
00:01:41,50
00:01:43,50
00:01:43,50
00:01:45,50
00:01:46,50
00:01:46,50
00:01:48,50
00:01:49,50
00:01:50,50
00:01:51,50
00:01:52,50
00:01:53,50
00:01:53,50
00:01:55,50
00:01:56,50
00:01:57,50
00:01:58,50
00:01:59,50
00:02:00,50
00:02:01,50
00:02:02,50
00:02:03,50
00:02:04,50
00:02:05,50
00:02:06,50
00:02:07,50
00:02:08,50
00:02:09,50
00:02:10,50
00:02:11,50
00:02:12,50
00:02:13,50
00:02:14,50
00:02:15,50
00:02:16,50
00:02:18,50
00:02:18,50
00:02:19,50
00:02:21,50
00:02:21,50
00:02:22,50
00:02:23,50
00:02:24,50
00:02:25,50
00:02:26,50
00:02:27,50
00:02:28,50
00:02:30,50
00:02:31,50
00:02:31,50
00:02:33,50
00:02:34,50
00:02:34,50
00:02:36,50
00:02:37,50
00:02:37,50
00:02:38,50
00:02:40,50
00:02:40,50
00:02:41,50
00:02:43,50
00:02:44,50
00:02:45,50
00:02:46,50
00:02:47,50
00:02:48,50
00:02:49,50
00:02:50,50
00:02:51,50
00:02:52,50
00:02:53,50
00:02:54,50
00:02:55,50
00:02:56,50
00:02:57,50
00:02:58,50
00:02:59,50
00:03:00,50
00:03:01,50
00:03:02,50
00:03:03,50
00:03:04,50
00:03:05,50
00:03:06,50
00:03:07,50
00:03:08,50
00:03:09,50
00:03:10,50
00:03:11,50
00:03:12,50
00:03:13,50
00:03:14,50
00:03:15,50
00:03:16,50
00:03:17,50
00:03:18,50
00:03:19,50
00:03:20,50
00:03:21,50
00:03:22,50
00:03:23,50
00:03:24,50
00:03:25,50
00:03:26,50
00:03:27,50
00:03:28,50
00:03:30,50
00:03:30,50
00:03:31,50
00:03:33,50
00:03:33,50
00:03:34,50
00:03:36,50
00:03:36,50
00:03:37,50
00:03:38,50
00:03:40,50
00:03:40,50
00:03:41,50
00:03:43,50
00:03:43,50
00:03:45,50
00:03:46,50
00:03:46,50
00:03:48,50
00:03:49,50
00:03:49,50
00:03:51,50
00:03:52,50
00:03:52,50
00:03:53,50
00:03:55,50
00:03:55,50
00:03:56,50
00:03:58,50
