Time,HeartRate
00:00:00,112
00:00:01,111
00:00:01,110
00:00:03,109
00:00:04,108
00:00:04,107
00:00:05,107
00:00:07,106
00:00:07,107
00:00:08,107
00:00:10,107
00:00:10,107
00:00:11,108
00:00:13,108
00:00:13,109
00:00:15,109
00:00:16,109
00:00:16,110
00:00:18,110
00:00:19,110
00:00:19,110
00:00:20,110
00:00:22,110
00:00:22,110
00:00:23,110
00:00:25,109
00:00:25,109
00:00:26,109
00:00:28,108
00:00:28,108
00:00:30,109
00:00:31,109
00:00:31,109
00:00:33,109
00:00:34,109
00:00:34,108
00:00:35,107
00:00:37,106
00:00:37,106
00:00:39,106
00:00:40,107
00:00:40,108
00:00:41,108
00:00:43,108
00:00:44,108
00:00:45,107
00:00:46,106
00:00:47,106
00:00:48,106
00:00:49,105
00:00:50,105
00:00:51,105
00:00:52,105
00:00:53,105
00:00:54,105
00:00:55,105
00:00:56,105
00:00:57,105
00:00:58,105
00:00:59,105
00:01:00,105
00:01:01,105
00:01:02,104
00:01:03,104
00:01:04,104
00:01:05,104
00:01:05,103
00:01:07,103
00:01:08,103
00:01:08,103
00:01:10,103
00:01:11,103
00:01:11,103
00:01:13,103
00:01:14,104
00:01:15,104
00:01:16,104
00:01:17,104
00:01:18,104
00:01:19,104
00:01:19,104
00:01:20,104
00:01:22,104
00:01:22,103
00:01:23,103
00:01:25,102
00:01:25,102
00:01:28,102
00:01:28,102
00:01:28,103
00:01:30,103
00:01:31,104
00:01:31,105
00:01:34,106
00:01:34,106
00:01:35,106
00:01:36,105
00:01:37,105
00:01:38,104
00:01:39,104
00:01:40,104
00:01:41,104
00:01:42,105
00:01:43,105
00:01:44,106
00:01:45,106
00:01:46,106
00:01:47,107
00:01:48,106
00:01:49,106
00:01:50,106
00:01:50,105
00:01:52,105
00:01:53,106
00:01:53,106
00:01:55,106
00:01:56,105
00:01:56,104
00:01:58,103
00:01:59,103
00:02:00,103
00:02:01,103
00:02:02,104
00:02:03,105
00:02:04,105
00:02:05,104
00:02:05,104
00:02:07,104
00:02:07,104
00:02:08,105
00:02:10,104
00:02:10,104
00:02:11,104
00:02:13,104
00:02:13,105
00:02:15,105
00:02:16,106
00:02:16,106
00:02:18,106
00:02:19,106
00:02:19,106
00:02:20,106
00:02:22,105
00:02:23,105
00:02:24,105
00:02:25,105
00:02:26,105
00:02:27,104
00:02:28,104
00:02:29,103
00:02:30,102
00:02:31,102
00:02:32,102
00:02:33,102
00:02:34,102
00:02:35,102
00:02:36,102
00:02:37,102
00:02:38,101
00:02:38,101
00:02:40,101
00:02:41,101
00:02:41,100
00:02:43,100
00:02:44,100
00:02:45,101
00:02:46,102
00:02:47,103
00:02:48,103
00:02:49,103
00:02:50,103
00:02:50,102
00:02:52,102
00:02:53,102
00:02:53,102
00:02:55,102
00:02:55,102
00:02:56,102
00:02:58,102
00:02:58,103
00:03:00,103
00:03:01,103
00:03:01,103
00:03:03,102
00:03:04,102
00:03:04,102
00:03:05,102
00:03:07,102
00:03:07,102
00:03:08,102
00:03:10,101
00:03:11,101
00:03:12,101
00:03:13,102
00:03:14,102
00:03:15,103
00:03:16,103
00:03:17,104
00:03:18,105
00:03:19,105
00:03:20,106
00:03:21,106
00:03:22,106
00:03:23,105
00:03:24,104
00:03:25,104
00:03:26,103
00:03:26,103
00:03:28,103
00:03:29,104
00:03:30,104
00:03:31,105
00:03:32,106
00:03:33,107
00:03:34,107
00:03:35,106
00:03:35,106
00:03:37,105
00:03:38,104
00:03:38,104
00:03:40,104
00:03:41,104
00:03:41,104
00:03:43,104
00:03:43,104
00:03:45,104
00:03:46,104
00:03:47,104
00:03:48,103
00:03:49,102
00:03:49,102
00:03:50,102
00:03:52,102
00:03:52,102
00:03:53,102
00:03:55,102
00:03:55,102
00:03:56,101
00:03:58,101
00:03:58,101
00:04:00,101
00:04:01,102
00:04:02,100
00:04:03,100
00:04:04,100
00:04:05,98
00:04:06,97
00:04:07,97
00:04:08,98
00:04:09,98
00:04:10,98
00:04:11,99
00:04:12,99
00:04:13,99
00:04:14,99
00:04:15,99
00:04:16,99
00:04:17,100
00:04:18,100
00:04:19,100
00:04:20,100
00:04:20,101
00:04:22,101
00:04:23,101
00:04:23,101
00:04:25,101
00:04:26,101
00:04:26,99
00:04:28,99
00:04:29,99
00:04:30,99
00:04:31,99
00:04:32,99
00:04:33,100
00:04:34,100
00:04:35,101
00:04:35,102
00:04:37,102
00:04:37,103
00:04:38,103
00:04:40,103
00:04:40,103
00:04:41,102
00:04:43,101
00:04:43,101
00:04:45,100
00:04:46,100
00:04:46,100
00:04:48,100
00:04:49,101
00:04:50,101
00:04:51,102
00:04:52,102
00:04:53,102
00:04:54,102
00:04:55,103
00:04:56,103
00:04:57,103
00:04:58,103
