Timestamp,Predicted Heart Rate,Predicted Workload
01-01-1900 00:23:40,104.05018,70.53456
01-01-1900 00:23:40,1853.3485,2206.5469
01-01-1900 00:23:40,32799.758,82421.08
01-01-1900 00:23:40,-70806.31,2598929.5
01-01-1900 00:23:40,-43114940.0,66110270.0
01-01-1900 00:23:40,-2566606600.0,2275461600.0
01-01-1900 00:23:40,-75394220000.0,89843655000.0
01-01-1900 00:23:40,-2590057200000.0,3133459700000.0
01-01-1900 00:23:40,-90149080000000.0,108849500000000.0
01-01-1900 00:23:40,-3134245000000000.0,3783969800000000.0
01-01-1900 00:23:40,-1.0895949e+17,1.3154786e+17
01-01-1900 00:23:40,-3.7879033e+18,4.5731797e+18
01-01-1900 00:23:40,-1.3168409e+20,1.5898368e+20
01-01-1900 00:23:40,-4.5779138e+21,5.526967e+21
01-01-1900 00:23:40,-1.5914826e+23,1.921415e+23
01-01-1900 00:23:40,-5.532689e+24,6.679677e+24
01-01-1900 00:23:40,-1.9234042e+26,2.3221477e+26
01-01-1900 00:23:40,-6.6865923e+27,8.0728e+27
01-01-1900 00:23:40,-2.3245517e+29,2.8064574e+29
01-01-1900 00:23:40,-8.081156e+30,9.756472e+30
01-01-1900 00:23:40,-2.8093631e+32,3.3917754e+32
01-01-1900 00:23:40,-inf,inf
01-01-1900 00:23:40,-inf,inf
01-01-1900 00:23:40,-inf,inf
01-01-1900 00:23:40,-inf,inf
