Timestamp,Predicted Heart Rate,Predicted Workload
01-01-1900 00:23:40,101.80866,69.6753
01-01-1900 00:23:40,3412.728,1671.7789
01-01-1900 00:23:40,120354.305,22044.002
01-01-1900 00:23:40,4189430.0,-295237.8
01-01-1900 00:23:40,163371870.0,-28296006.0
01-01-1900 00:23:40,5584186000.0,-1041481000.0
01-01-1900 00:23:40,191557910000.0,-37753390000.0
01-01-1900 00:23:40,6592951000000.0,-1351793400000.0
01-01-1900 00:23:40,227476570000000.0,-47990065000000.0
01-01-1900 00:23:40,7863123600000000.0,-1693498900000000.0
01-01-1900 00:23:40,2.7217488e+17,-5.9506613e+16
01-01-1900 00:23:40,9.430627e+18,-2.0845717e+18
01-01-1900 00:23:40,3.270073e+20,-7.286343e+19
01-01-1900 00:23:40,1.1345231e+22,-2.542771e+21
01-01-1900 00:23:40,3.937723e+23,-8.863381e+22
01-01-1900 00:23:40,1.3671192e+25,-3.0869055e+24
01-01-1900 00:23:40,4.747475e+26,-1.07443015e+26
01-01-1900 00:23:40,1.6488792e+28,-3.737974e+27
01-01-1900 00:23:40,5.7275158e+29,-1.3000207e+29
01-01-1900 00:23:40,1.9896716e+31,-4.5202123e+30
01-01-1900 00:23:40,6.9123245e+32,-1.5714129e+32
01-01-1900 00:23:40,inf,-inf
01-01-1900 00:23:40,inf,-inf
01-01-1900 00:23:40,inf,-inf
01-01-1900 00:23:40,inf,-inf
